stars,watches,forks
0,0,0
551,80,198
278,28,103
434,18,48
0,2,0
0,1,0
0,0,0
6706,295,1508
3,2,1
0,0,2
1,2,0
0,1,0
243,34,90
248,29,40
272,15,10
1,2,0
0,1,0
307,29,63
0,1,0
600,91,295
407,42,135
10,5,9
213,27,36
1228,75,113
1,0,0
10440,826,4539
19718,1053,3123
0,1,0
1236,155,2101
105,15,37
277,33,48
0,1,0
49,16,107
0,1,1
0,0,0
695,132,406
2336,210,1063
0,2,0
1,1,0
0,0,0
377,25,33
2924,190,444
410,24,52
0,1,0
8308,585,2454
1,1,0
1,0,0
0,2,0
617,8,162
705,97,210
969,42,172
0,1,0
60,27,133
512,26,40
0,1,0
31,12,12
0,1,0
486,38,59
0,4,0
916,30,64
